Journal Number	Date	Memo	Item Number	Location	Quantity	Unit Cost	Amount	Account	Job	Allocation Memo	Category
IJ011439	07/12/2016	Inventory count	TPCC_IC_08_WH	Location1	-2	$19.30	-$38.60	39999			

IJ011464	08/12/2016	Inventory count	OP760-230	Location1	1,000	$1.55	$1,547.96	39999			

IJ011469	08/12/2016	Inventory count	TPCC_DW_08T_WHITE	Location1	4	$0.00	$0.00				

IJ011471	08/12/2016	Inventory count	TPCC_SW_08T_WH	Location1	-5	$23.31	-$116.55	39999			

IJ011486	09/12/2016	Inventory count	DC285	Location1	-108	$45.16	-$4,877.28	39999			
IJ011486	09/12/2016	Inventory count	C005_NESTLE_PP_8ozT_DOLCE	Location1	108	$45.16	$4,877.28	39999			

IJ011489	09/12/2016	Inventory count	SP355-313	Location1	1,000	$1.84	$1,841.72	39999			

IJ011506	11/12/2016	Inventory count	SP690-313	Location1	-2,000	$1.84	-$3,679.20	39999			
IJ011506	11/12/2016	Inventory count	SP355-313	Location1	2,000	$1.84	$3,679.20	39999			

IJ011522	12/12/2016	Inventory count	TPCC_DW_08T_BLK	Location1	73	$15.09	$1,101.64	39999			

IJ011524	12/12/2016	Inventory count	OP275-230	Location1	1,000	$1.62	$1,619.97	39999			

IJ011533	12/12/2016	Inventory count	C219_BEVSERV_DW_04_DILMAH	Location1	-1	$15.72	-$15.72	39999			

IJ011538	13/12/2016	Inventory count	OP275-230	Location1	1,000	$1.62	$1,620.08	39999			

IJ011560	14/12/2016	Inventory count	OP275-230	Location1	2,000	$1.62	$3,240.00	39999			

IJ011574	15/12/2016	Inventory count	SP690-313	Location1	-2,000	$1.84	-$3,679.22	39999			
IJ011574	15/12/2016	Inventory count	SP355-313	Location1	2,000	$1.84	$3,679.22	39999			

IJ011596	16/12/2016	Inventory count: Sold to Flint Group	C086_CROAST_DW_08_G01	Location1	-3	$20.02	-$60.07	39999			

IJ011610	16/12/2016	Inventory count	TPCC_DW_08_BLK	Location1	-5	$11.65	-$58.24	39999			

IJ011625	19/12/2016	Inventory count	OP760-230	Location1	1,000	$1.61	$1,607.58	39999			

IJ011636	20/12/2016	Inventory Count	JL_HL_8~16_W	Location1	28	$19.98	$559.44	39999			

IJ011645	20/12/2016	Inventory count	C143_ALTIMATE_IC_05_FTTRT	Location1	-1	$18.19	-$18.19	39999			

IJ011656	21/12/2016	Inventory count: Supplied to Lombard under their code	C031_LOMB_DW_08T_DIB_MAP	Location1	40	$15.09	$603.64	39999			
IJ011656	21/12/2016	Inventory count: Supplied to Lombard under their code	TPCC_DW_08T_BLK	Location1	-40	$15.09	-$603.64	39999			

IJ011667	21/12/2016	Inventory count	OP760-230	Location1	2,000	$1.61	$3,215.20	39999			

IJ011671	22/12/2016	Stocktake Inventory count	JL_FL_3_W	Location1	-1	$29.00	-$29.00	39999			

IJ011677	22/12/2016	Stocktake Inventory count	TPCC_IC_05_WH	Location1	-1	$18.71	-$18.71	39999			

IJ011680	22/12/2016	Inventory count	C133_METWOD_FC_08_SAKE	Location1	1	$0.00	$0.00				

IJ011681	22/12/2016	Inventory count	C133_METWOD_FC_16_SAKE	Location1	-1	$19.01	-$19.01	39999			

IJ011682	22/12/2016	Inventory count	JL_FLT_8~30_W	Location1	-3	$23.13	-$69.39	39999			

IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_04_WH	Location1	-1	$11.46	-$11.46	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_06_WH_1800	Location1	-1	$23.70	-$23.70	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_08T_WH	Location1	-9	$19.33	-$173.93	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_08_WH	Location1	-10	$23.65	-$236.54	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_12_WH	Location1	24	$25.89	$621.42	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_DW_16_WH	Location1	-2	$16.26	-$32.52	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_IC_03_WH	Location1	1	$19.07	$19.07	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_DW_12_BLK	Location1	-10	$14.60	-$146.03	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_DW_08TK_G	Location1	-1	$14.97	-$14.97	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_DW_16K_G	Location1	-1	$15.33	-$15.33	39999			
IJ011683	22/12/2016	Stocktake Inventory count	TPCC_SW_02_RED	Location1	-30	$13.77	-$413.24	39999			

IJ011689	23/12/2016	Inventory count	C-Group5	Location1	-1,359	$0.93	-$1,268.01	39999			

IJ011691	23/12/2016	Stocktake Inventory count	TPCC_SW_16_WH	Location1	-6	$24.71	-$148.23	39999			
IJ011691	23/12/2016	Stocktake Inventory count	TPCC_FC_08_WH	Location1	1	$15.93	$15.93	39999			
IJ011691	23/12/2016	Stocktake Inventory count	TPCC_DW_04_BLK	Location1	-16	$16.41	-$262.54	39999			
IJ011691	23/12/2016	Stocktake Inventory count	TPCC_DW_12_BLK	Location1	10	$15.42	$154.19	39999			

IJ011693	16/01/2017	Stocktake Inventory count: Anast found extra in WH	C031_LOMB_DW_08K_P&O	Location1	6	$19.64	$117.81	39999			
IJ011693	16/01/2017	Stocktake Inventory count: Anast found extra in WH	C031_LOMB_DW_12K_P&O	Location1	2	$18.74	$37.47	39999			

IJ011694	16/01/2017	Inventory count	TPCC_SW_12_WH	Location1	-4	$25.95	-$103.81	39999			

IJ011695	16/01/2017	Inventory count	C031_LOMB_DW_12K_P&O	Location1	-2	$18.74	-$37.47	39999			

IJ011696	16/01/2017	Stocktake Inventory count	TPCC_SM_02_G01	Location1	-10	$11.43	-$114.34	39999			

IJ011701	17/01/2017	Inventory Count	JL_HL_T8_B	Location1	14	$19.60	$274.44	39999			

IJ011703	17/01/2017	Inventory Count	JL_HLS_4_W	Location1	11	$17.12	$188.32	39999			

IJ011736	19/01/2017	Stocktake Inventory count	C031_LOMB_DW_16_SHINGINN	Location1	-2	$16.81	-$33.62	39999			

IJ011818	31/01/2017	Stocktake Inventory count 27/01	TPCC_FC_08_WH	Location1	31	$15.93	$493.97	39999			

IJ011821	31/01/2017	Inventory count	OP760-230	Location1	3,000	$1.62	$4,857.99	39999			

IJ011832	01/02/2017	Stocktake Inventory count 27/01	TPCC_SW_16_WH	Location1	8	$24.71	$197.64	39999			

IJ011932	10/02/2017	Inventory count Slit down from 730 to (275&230)	SP730-313	Location1	-863	$1.90	-$1,636.59	39999			
IJ011932	10/02/2017	Inventory count Slit down from 730 to (275&230)	SP230-313	Location1	533	$1.67	$892.19	39999			
IJ011932	10/02/2017	Inventory count Slit down from 730 to (275&230)	SP275-313	Location1	330	$2.26	$744.40	39999			

IJ011933	10/02/2017	Slit 4 x sp690 @530 into sp230 total 2120kgs	SP690-313	Location1	-2,120	$1.74	-$3,696.69	39999			
IJ011933	10/02/2017	Slit 4 x sp690 @530 into sp230 total 2120kgs	SP230-313	Location1	2,120	$1.74	$3,696.69	39999			

IJ011939	13/02/2017	Inventory count	TPCC_DW_08T_WHITE	Location1	-80	$13.47	-$1,077.63	39999			

IJ011940	13/02/2017	sp275 = 160 from 730 & 1,000 from 303	SP730-313	Location1	-420	$1.90	-$796.49	39999			
IJ011940	13/02/2017	sp275 = 160 from 730 & 1,000 from 303	SP230-313	Location1	260	$1.90	$493.06	39999			
IJ011940	13/02/2017	sp275 = 160 from 730 & 1,000 from 303	SP275-313	Location1	160	$1.90	$303.43	39999			
IJ011940	13/02/2017	sp275 = 160 from 730 & 1,000 from 303	SP305-313	Location1	-1,000	$1.83	-$1,829.86	39999			
IJ011940	13/02/2017	sp275 = 160 from 730 & 1,000 from 303	SP275-313	Location1	1,000	$1.83	$1,829.86	39999			

IJ011966	15/02/2017	Inventory count	TPCC_SW_16_WH	Location1	-2	$24.71	-$49.41	39999			
IJ011966	15/02/2017	Inventory count	TPCC_DW_08T_BLK	Location1	104	$15.62	$1,624.87	39999			

IJ011973	15/02/2017	Inventory count	JL_CLD_05_DOME_NH	Location1	-2	$17.00	-$33.99	39999			

IJ011978	16/02/2017	Stocktake Inventory count 13/02	TPCC_DW_16_WH	Location1	2	$16.26	$32.52	39999			
IJ011978	16/02/2017	Stocktake Inventory count 13/02	TPCC_DW_08_BLK	Location1	6	$16.93	$101.56	39999			

IJ011992	17/02/2017	Inventory count	SP275-313	Location1	2,000	$1.93	$3,856.43	39999			

IJ011995	17/02/2017	Inventory count	BP82-254	Location1	1,000	$2.13	$2,125.04	39999			

IJ012015	21/02/2017	IP_SP200 to IP730	SP200-313	Location1	-85.006	$1.67	-$141.68	39999			
IJ012015	21/02/2017	IP_SP200 to IP730	IP730-278	Location1	85.006	$1.67	$141.68	39999			

IJ012022	21/02/2017	Inventory count	C031_LOMB_DW_12_MAP	Location1	-13	$19.88	-$258.44	39999			

IJ012076	24/02/2017	Inventory count	SP730-313	Location1	-2,500	$1.90	-$4,740.98	39999			
IJ012076	24/02/2017	Inventory count	SP230-313	Location1	1,625	$1.90	$3,081.65	39999			
IJ012076	24/02/2017	Inventory count	SP275-313	Location1	875	$1.90	$1,659.35	39999			

IJ012086	28/02/2017	Inventory	TPCC_SM_02_G01	Location1	40	$11.55	$461.99	39999			

IJ012150	03/03/2017	STOCKTAKE Inventory count	TPCC_FC_16_WH	Location1	-1	$18.80	-$18.80	39999			
IJ012150	03/03/2017	STOCKTAKE Inventory count	TPCC_IC_05_WH	Location1	4	$18.68	$74.70	39999			
IJ012150	03/03/2017	STOCKTAKE Inventory count	TPCC_DW_08T_BLK	Location1	-1	$15.62	-$15.62	39999			

IJ012130	06/03/2017	Inventory count	TPCC_FC_08_WH	Location1	-11	$15.92	-$175.08	39999			

IJ012148	07/03/2017	Inventory count	OP760-230	Location1	1,000	$1.62	$1,623.15	39999			

IJ012152	08/03/2017	Inventory count	TPCC_FC_08_WH	Location1	1	$0.00	$0.00				

IJ012158	08/03/2017	Inventory count	C149_N2_IC_05_1000_NN2	Location1	2	$19.85	$39.69	39999			

IJ012183	16/03/2017	Inventory count	TPCC_FC_08_WH	Location1	-21	$16.04	-$336.90	39999			

IJ012196	17/03/2017	Inventory count	OPK760-220	Location1	-1,100	$1.58	-$1,741.27	39999			
IJ012196	17/03/2017	Inventory count	OPK250-220	Location1	1,100	$1.58	$1,741.27	39999			

